"","fips","aveBMI","avePM.idw","per.black","per.latinx","per.asnam","per.white","med.hinc","med.hval","lt.HS","female.unemp","male.unemp","climate.region"
"254",17131,31.23842227,12.73249287,0.002595564,0.01297782,0.002595564,0.976561271,50909,102800,10.3,6.5,4.7,"ohio_valley"
"255",17133,28.65594962,12.12699362,0.001406413,0.01105039,0.003857591,0.976613357,68253,197400,16,3.6,4.5,"ohio_valley"
"256",17139,27.79394623,12.031373,0.001973979,0.006280843,0.001794527,0.984208165,46364,89700,28.2,4.8,4.9,"ohio_valley"
"257",17141,30.87629891,9.887736,0.006707575,0.068814747,0.00407423,0.913298388,55733,152400,15.3,7.3,9,"ohio_valley"
"258",17143,26.60210647,11.509091,0.150415604,0.03115091,0.030939047,0.772762904,49747,119000,15.1,7.1,7.2,"ohio_valley"
"259",17145,26.61904521,10.209091,0.096461026,0.027487724,0.003781679,0.864141785,40696,76900,33.7,7.5,10,"ohio_valley"
"260",17147,27.8350555,10.95241591,0.00235812,0.007624587,0.00275114,0.980191794,55752,119100,14.2,4.3,2.7,"ohio_valley"
"261",17157,28.04234344,10.209091,0.107953064,0.026038368,0.003017322,0.856323338,45020,86900,29.1,5,6.6,"ohio_valley"
"262",17161,27.39757125,11.7326445,0.077728906,0.091545047,0.015258965,0.801607219,46226,111700,17.1,6.8,7.3,"ohio_valley"
"263",17163,28.84909388,12.81128986,0.279816149,0.027269839,0.012721623,0.665103143,48562,122400,17.4,7.4,8.6,"ohio_valley"
"264",17165,30.74800348,11.268333,0.032693008,0.009943256,0.003696184,0.939819876,35644,69400,22.5,7,7.4,"ohio_valley"
"265",17167,29.27631925,11.466379,0.099874543,0.014636672,0.016296159,0.856407942,52232,118900,16.4,4.8,7.8,"ohio_valley"
"266",17179,30.19663715,11.509091,0.009839896,0.015440623,0.006614651,0.958419436,54232,125700,15.5,5.3,6.3,"ohio_valley"
"267",17189,30.63699754,10.209091,0.004189213,0.010560307,0.002007331,0.978093908,51440,103100,12.8,4,4.6,"ohio_valley"
"268",17193,27.48788282,11.268333,0.0025,0.008706897,0.002068966,0.979396552,39728,62900,17.5,6,7.8,"ohio_valley"
"269",17195,26.80385383,12.25130891,0.010612628,0.08684481,0.004647214,0.88962867,45266,98100,17.6,5.3,7.3,"ohio_valley"
"270",17197,27.36024478,11.44993984,0.106278324,0.132645036,0.043919552,0.706709862,75906,240500,15.7,6.7,7.4,"ohio_valley"
"271",17201,27.06448563,9.887736,0.106511011,0.084962515,0.021900346,0.773328041,47198,128100,21.7,7.9,11.2,"ohio_valley"
"272",17203,25.07840814,11.0270934,0.003452605,0.009416196,0.004777848,0.974680896,65890,151500,11.6,3.7,4.9,"ohio_valley"
"273",18003,28.51355725,11.843443,0.105956333,0.051324165,0.024193144,0.802179118,48714,113200,19.9,7.2,7.9,"ohio_valley"
"274",18009,31.68595394,12.787387,0.00365408,0.00680065,0.001522533,0.977872513,41989,77600,28,9.6,13.1,"ohio_valley"
"275",18011,26.38879871,13.996011,0.008250866,0.017287528,0.015519485,0.950494806,68594,174300,25.7,3.5,3.5,"ohio_valley"
"276",18013,27.21555246,11.224771,0.002568351,0.009444905,0.002402651,0.974813587,50139,158500,26.7,5.1,10.7,"ohio_valley"
