ent,Date,pm25,bc,Sodium,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Br,Ba,Pb
1910,3/25/03,11.8,0.62825833,0.212,0.0626,0.1098,1.832,0.0085,0.0328,0.0314,0.004,0.0064,0.0013,0,0.0818,0.0055,0.0019,0.0089,0,0,0.0037,0.0042,0.0066
1911,3/26/03,13,0.66473611,0.2444,0.0724,0.089,1.4611,0.0019,0.043,0.0334,0.0024,0.0043,5.00E-04,0,0.0558,0.0034,0.0012,0.0093,0.001,0,0,0.0054,0.0055
1912,3/27/03,8.3,0.42253889,0.059,0.0764,0.1188,0.8731,0.0029,0.0353,0.0329,0.004,0.0034,4.00E-04,0,0.0962,0.0033,3.00E-04,0.0117,4.00E-04,0,0,0.014,0.0058
1913,3/28/03,8.5,0.83719306,0.2268,0.0725,0.1305,0.9698,0.0048,0.0369,0.0397,0.0042,0.0026,3.00E-04,0,0.0794,0.0013,0.0029,0.0138,7.00E-04,0,0.0044,0.0294,0.0038
1914,3/29/03,5.2,0.33024931,0.318,0.0569,0.0858,0.4948,0.0739,0.0276,0.0372,0.0028,0.0018,9.00E-04,0,0.0386,0.0026,8.00E-04,0.0063,0,0,0,0.0078,0.0061
1915,3/30/03,4.8,0.21234201,0.0424,0.0183,0.0147,0.6683,1.00E-04,0.0155,0.0095,0.0014,0.0023,4.00E-04,0,0.0185,0.0024,0.0025,0.007,0,0,3.00E-04,0.0124,0.0017
1916,3/31/03,5.5,0.24470986,0.0239,0.0491,0.0694,0.7239,0.0025,0.0251,0.0375,0.0021,0.0012,1.00E-04,0.0013,0.0492,0.001,0.0017,0.014,0.001,0,0,0.0014,0.0027
1917,4/1/03,12.2,0.3784059,0.1673,0.0448,0.0592,1.1012,0.0012,0.0306,0.0248,0.0023,0.006,3.00E-04,0.0012,0.0519,0.0064,0,0.0083,0,0.0015,0.0014,0,0.0031
1918,4/2/03,21.5,1.07658681,0.2626,0.0315,0.0408,2.0111,0.0055,0.0375,0.0259,0.0031,0.007,0,0,0.0533,0.0057,0.0055,0.0142,0,9.00E-04,0.0035,0,0.0103
1919,4/3/03,14.2,1.10308681,0.188,0.0355,0.0489,1.3331,0.0058,0.0392,0.0261,0.0031,0.004,0,0,0.1617,0.0042,0.0067,0.0204,0,0,2.00E-04,0,0.0084
1920,4/4/03,6.1,0.55511736,0.2981,0.0568,0.0538,0.7027,0.0046,0.0269,0.0249,0.0014,0.0038,5.00E-04,0,0.0398,0.006,0.0027,0.0049,0,0,0.0025,0.0075,0.0026
1921,4/5/03,7.2,0.2973184,0.1747,0.0302,0.0312,0.9094,9.00E-04,0.0268,0.0156,0.0014,0.0036,4.00E-04,0,0.0266,0.0047,0.0027,0.0052,0,0,0.002,0.0083,0.0043
